Date,Time,Location,Type,Status
2026-05-31,21:23:58,Room 201,Smoke Triggered,Pending
2026-05-31,21:24:12,Room 201,Smoke Triggered,Pending
2026-05-31,21:24:24,Room 201,Smoke Triggered,Pending
2026-05-31,21:24:30,Room 201,Smoke Triggered,Pending
2026-05-31,21:24:36,Room 201,Smoke Triggered,Pending
2026-05-31,21:24:46,Room 201,Smoke Triggered,Pending
2026-05-31,21:24:51,Room 201,Smoke Triggered,Pending
2026-05-31,21:24:56,Room 201,Smoke Triggered,Pending
2026-05-31,21:25:03,Room 201,Smoke Triggered,Pending
2026-05-31,21:25:08,Room 201,Smoke Triggered,Pending
2026-05-31,21:25:28,Room 201,Smoke Triggered,Pending
2026-05-31,21:25:34,Room 201,Smoke Triggered,Pending
2026-05-31,21:25:41,Room 201,Smoke Triggered,Pending
2026-05-31,21:25:48,Room 201,Smoke Triggered,Pending
2026-05-31,21:25:57,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:02,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:07,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:14,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:22,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:28,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:37,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:45,Room 201,Smoke Triggered,Pending
2026-05-31,21:26:56,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:04,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:10,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:15,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:23,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:29,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:41,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:48,Room 201,Smoke Triggered,Pending
2026-05-31,21:27:53,Room 201,Smoke Triggered,Pending
2026-05-31,21:28:01,Room 201,Smoke Triggered,Pending
2026-05-31,21:28:07,Room 201,Smoke Triggered,Pending
2026-05-31,21:28:13,Room 201,Smoke Triggered,Pending
2026-05-31,21:28:19,Room 201,Smoke Triggered,Pending
2026-05-31,21:28:26,Room 201,Smoke Triggered,Pending
2026-05-31,21:28:32,Room 201,Smoke Triggered,Pending
2026-05-31,21:28:38,Room 201,Smoke Triggered,Pending
2026-05-31,22:03:35,Room 201,Smoke Triggered,Pending
2026-05-31,22:03:42,Room 201,Smoke Triggered,Pending
2026-05-31,22:03:48,Room 201,Smoke Triggered,Pending
2026-05-31,22:03:55,Room 201,Smoke Triggered,Pending
2026-05-31,22:04:01,Room 201,Smoke Triggered,Pending
2026-05-31,22:04:09,Room 201,Smoke Triggered,Pending
2026-05-31,22:10:09,Room 201,Smoke Triggered,Pending
2026-05-31,22:10:14,Room 201,Smoke Triggered,Pending
2026-05-31,22:10:35,Room 201,Smoke Triggered,Pending
2026-05-31,22:10:41,Room 201,Smoke Triggered,Pending
2026-05-31,22:10:57,Room 201,Smoke Triggered,Pending
2026-05-31,22:11:02,Room 201,Smoke Triggered,Pending
2026-05-31,22:11:10,Room 201,Smoke Triggered,Pending
2026-05-31,22:11:16,Room 201,Smoke Triggered,Pending
2026-05-31,22:11:24,Room 201,Smoke Triggered,Pending
2026-05-31,22:11:42,Room 201,Smoke Triggered,Pending
2026-05-31,22:11:48,Room 201,Smoke Triggered,Pending
2026-05-31,22:11:54,Room 201,Smoke Triggered,Pending
2026-05-31,22:12:00,Room 201,Smoke Triggered,Pending
2026-05-31,22:12:06,Room 201,Smoke Triggered,Pending
2026-05-31,22:12:12,Room 201,Smoke Triggered,Pending
2026-05-31,22:12:31,Room 201,Smoke Triggered,Pending
2026-05-31,22:12:39,Room 201,Smoke Triggered,Pending
2026-05-31,22:12:45,Room 201,Smoke Triggered,Pending
2026-05-31,22:12:56,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:02,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:07,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:13,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:20,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:26,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:32,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:38,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:44,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:50,Room 201,Smoke Triggered,Pending
2026-05-31,22:13:57,Room 201,Smoke Triggered,Pending
2026-05-31,22:14:19,Room 201,Smoke Triggered,Pending
2026-05-31,22:14:24,Room 201,Smoke Triggered,Pending
2026-05-31,22:14:36,Room 201,Smoke Triggered,Pending
2026-05-31,22:14:42,Room 201,Smoke Triggered,Pending
2026-05-31,22:14:50,Room 201,Smoke Triggered,Pending
2026-05-31,22:14:59,Room 201,Smoke Triggered,Pending
2026-05-31,22:15:04,Room 201,Smoke Triggered,Pending
2026-05-31,22:15:13,Room 201,Smoke Triggered,Pending
2026-05-31,22:15:18,Room 201,Smoke Triggered,Pending
2026-05-31,22:15:28,Room 201,Smoke Triggered,Pending
2026-05-31,22:15:34,Room 201,Smoke Triggered,Pending
2026-05-31,22:15:40,Room 201,Smoke Triggered,Pending
2026-05-31,22:15:53,Room 201,Smoke Triggered,Pending
2026-05-31,22:16:04,Room 201,Smoke Triggered,Pending
2026-05-31,22:16:11,Room 201,Smoke Triggered,Pending
2026-05-31,22:16:19,Room 201,Smoke Triggered,Pending
2026-05-31,22:16:26,Room 201,Smoke Triggered,Pending
2026-05-31,22:16:32,Room 201,Smoke Triggered,Pending
2026-05-31,22:16:41,Room 201,Smoke Triggered,Pending
2026-05-31,22:16:49,Room 201,Smoke Triggered,Pending
2026-05-31,22:18:33,Room 201,Smoke Triggered,Pending
2026-05-31,22:18:39,Room 201,Smoke Triggered,Pending
2026-05-31,22:18:46,Room 201,Smoke Triggered,Pending
2026-05-31,22:18:52,Room 201,Smoke Triggered,Pending
2026-05-31,22:22:01,Room 201,Smoke Triggered,Pending
2026-05-31,22:22:09,Room 201,Smoke Triggered,Pending
2026-05-31,22:24:28,Room 201,Smoke Triggered,Pending
2026-05-31,22:24:35,Room 201,Smoke Triggered,Pending
2026-05-31,22:24:59,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:04,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:10,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:17,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:22,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:28,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:39,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:47,Room 201,Smoke Triggered,Pending
2026-05-31,22:25:56,Room 201,Smoke Triggered,Pending
2026-06-01,19:49:50,Room 201,Smoke Triggered,Pending
2026-06-01,19:49:57,Room 201,Smoke Triggered,Pending
2026-07-04,14:04:24,Room 201,Smoke Triggered,Pending
2026-07-04,17:33:38,Room 201,Smoke Triggered,Pending
2026-07-04,17:33:44,Room 201,Smoke Triggered,Pending
2026-07-04,17:33:52,Room 201,Smoke Triggered,Pending
2026-07-04,17:34:01,Room 201,Smoke Triggered,Pending
2026-07-04,17:34:07,Room 201,Smoke Triggered,Pending
2026-07-04,17:34:13,Room 201,Smoke Triggered,Pending
2026-07-04,17:34:20,Room 201,Smoke Triggered,Pending
2026-07-04,17:34:42,Room 201,Smoke Triggered,Pending
2026-07-04,17:34:57,Room 201,Smoke Triggered,Pending
2026-07-04,17:35:05,Room 201,Smoke Triggered,Pending
2026-07-04,17:35:10,Room 201,Smoke Triggered,Pending
2026-07-04,17:35:18,Room 201,Smoke Triggered,Pending
